ID_Cliente,Fecha_Mes,Suscripcion_Activa,Interacciones_Soporte,Uso_Del_Servicio
49,2025-10-01,1,0,15.3
49,2025-11-01,0,0,20.0
50,2025-05-01,1,0,23.8
50,2025-06-01,1,1,26.1
50,2025-07-01,1,0,25.2
50,2025-08-01,1,0,19.1
50,2025-09-01,1,0,11.8
50,2025-10-01,1,1,8.4
50,2025-11-01,0,0,7.5
51,2024-11-01,1,1,27.3
51,2024-12-01,1,0,14.6
51,2025-01-01,1,0,21.6
51,2025-02-01,1,1,18.0
51,2025-03-01,1,0,17.5
51,2025-04-01,1,1,14.0
51,2025-05-01,0,0,12.5
52,2024-11-01,1,0,13.5
52,2024-12-01,1,0,17.3
52,2025-01-01,1,1,16.5
52,2025-02-01,1,0,14.2
52,2025-03-01,1,0,16.6
52,2025-04-01,1,0,14.2
52,2025-05-01,1,0,15.9
52,2025-06-01,1,0,11.8
52,2025-07-01,1,0,15.8
52,2025-08-01,1,0,16.3
52,2025-09-01,1,0,11.7
52,2025-10-01,1,1,15.1
52,2025-11-01,1,0,13.8
52,2025-12-01,1,0,17.2
53,2024-08-01,1,0,17.2
53,2024-09-01,1,0,12.3
53,2024-10-01,1,0,15.8
53,2024-11-01,1,1,10.7
53,2024-12-01,1,0,7.4
53,2025-01-01,1,0,4.7
53,2025-02-01,1,2,7.1
53,2025-03-01,1,3,2.1
53,2025-04-01,1,0,1.0
53,2025-05-01,1,0,2.9
53,2025-06-01,1,0,7.3
53,2025-07-01,1,0,5.2
53,2025-08-01,1,0,0.0
53,2025-09-01,0,0,0.3
54,2025-11-01,1,0,17.2
54,2025-12-01,1,0,18.5
55,2025-11-01,1,0,13.4
55,2025-12-01,1,0,20.9
56,2025-07-01,1,0,24.4
56,2025-08-01,1,0,24.8
56,2025-09-01,1,1,25.6
56,2025-10-01,1,0,20.2
56,2025-11-01,1,0,24.0
56,2025-12-01,1,0,23.3
57,2025-10-01,0,2,0.0
58,2025-04-01,1,0,21.9
58,2025-05-01,0,0,29.2
59,2024-10-01,1,0,24.0
59,2024-11-01,0,2,27.6
60,2025-04-01,0,0,24.3
61,2025-08-01,1,0,8.8
61,2025-09-01,1,0,6.4
61,2025-10-01,1,0,3.3
61,2025-11-01,1,1,0.4
61,2025-12-01,1,0,7.9
62,2025-10-01,1,0,28.7
62,2025-11-01,1,0,23.5
62,2025-12-01,1,0,17.3
63,2025-09-01,1,0,28.1
63,2025-10-01,1,0,29.0
63,2025-11-01,1,0,26.8
63,2025-12-01,1,1,28.1
64,2025-08-01,0,0,8.1
65,2024-12-01,1,0,20.7
65,2025-01-01,1,1,15.6
65,2025-02-01,1,2,16.6
65,2025-03-01,1,0,15.6
65,2025-04-01,0,0,17.3
66,2025-02-01,1,0,8.9
66,2025-03-01,1,1,12.2
66,2025-04-01,1,0,7.2
66,2025-05-01,1,0,3.0
66,2025-06-01,1,0,2.5
66,2025-07-01,1,1,0.0
66,2025-08-01,1,1,4.6
66,2025-09-01,1,3,0.0
66,2025-10-01,1,1,0.4
66,2025-11-01,1,1,0.0
66,2025-12-01,0,0,0.9
67,2025-02-01,0,1,25.4
68,2025-09-01,1,1,15.9
68,2025-10-01,1,1,14.7
68,2025-11-01,0,1,11.6
69,2025-05-01,1,0,3.9
69,2025-06-01,0,1,4.6
70,2025-04-01,1,1,32.2
70,2025-05-01,1,1,26.2
70,2025-06-01,1,0,23.7
70,2025-07-01,1,0,18.8
70,2025-08-01,0,2,14.5
71,2025-11-01,1,0,26.7
71,2025-12-01,1,0,30.1
72,2025-01-01,1,1,32.9
72,2025-02-01,1,0,32.4
72,2025-03-01,1,1,31.4
72,2025-04-01,1,0,36.5
72,2025-05-01,1,0,35.2
72,2025-06-01,1,1,35.8
72,2025-07-01,1,1,35.2
72,2025-08-01,1,1,37.2
72,2025-09-01,1,0,35.8
72,2025-10-01,1,0,31.2
72,2025-11-01,1,0,33.6
72,2025-12-01,1,0,33.1
73,2024-10-01,1,0,7.9
73,2024-11-01,0,0,14.3
74,2025-10-01,1,0,26.1
74,2025-11-01,1,0,22.8
74,2025-12-01,1,0,21.1
75,2024-12-01,1,1,23.1
75,2025-01-01,1,0,24.1
75,2025-02-01,0,0,26.9
76,2025-11-01,1,0,18.7
76,2025-12-01,1,0,22.7
77,2025-05-01,1,1,7.6
77,2025-06-01,1,0,10.5
77,2025-07-01,1,0,8.2
77,2025-08-01,1,3,6.1
77,2025-09-01,1,1,4.1
77,2025-10-01,1,1,7.7
77,2025-11-01,1,0,8.5
77,2025-12-01,0,1,4.7
78,2024-11-01,1,0,18.0
78,2024-12-01,1,0,20.9
78,2025-01-01,1,1,14.9
78,2025-02-01,1,0,20.5
78,2025-03-01,1,0,15.4
78,2025-04-01,1,1,14.0
78,2025-05-01,1,2,15.5
78,2025-06-01,1,1,17.3
78,2025-07-01,1,0,20.3
78,2025-08-01,1,0,10.7
78,2025-09-01,1,1,17.6
78,2025-10-01,1,0,19.6
78,2025-11-01,1,3,15.6
78,2025-12-01,0,1,16.1
79,2025-07-01,1,1,15.1
79,2025-08-01,1,0,14.1
79,2025-09-01,1,0,11.1
79,2025-10-01,1,0,14.8
79,2025-11-01,1,1,19.2
79,2025-12-01,1,0,14.5
80,2025-01-01,1,0,26.1
80,2025-02-01,1,0,29.2
80,2025-03-01,1,0,31.1
80,2025-04-01,1,0,30.1
80,2025-05-01,1,0,28.7
80,2025-06-01,1,0,31.0
80,2025-07-01,1,1,24.0
80,2025-08-01,1,0,24.7
80,2025-09-01,1,0,25.8
80,2025-10-01,1,0,28.5
80,2025-11-01,1,0,24.8
80,2025-12-01,1,0,25.6
81,2025-09-01,1,0,12.4
81,2025-10-01,1,0,2.8
81,2025-11-01,1,0,11.7
81,2025-12-01,1,0,9.9
82,2024-09-01,1,1,24.3
82,2024-10-01,1,0,25.7
82,2024-11-01,1,0,27.0
82,2024-12-01,1,0,29.4
82,2025-01-01,1,0,24.2
82,2025-02-01,1,2,29.4
82,2025-03-01,1,2,22.4
82,2025-04-01,1,0,19.6
82,2025-05-01,1,0,23.6
82,2025-06-01,1,0,24.2
82,2025-07-01,1,1,24.0
82,2025-08-01,1,1,26.5
82,2025-09-01,1,0,27.1
82,2025-10-01,0,0,24.4
83,2025-06-01,1,0,17.1
83,2025-07-01,1,0,14.9
83,2025-08-01,1,0,14.7
83,2025-09-01,1,0,16.6
83,2025-10-01,1,1,10.8
83,2025-11-01,1,0,9.4
83,2025-12-01,1,0,14.2
84,2025-03-01,1,0,20.5
84,2025-04-01,1,1,26.5
84,2025-05-01,1,0,17.5
84,2025-06-01,1,0,9.8
84,2025-07-01,1,0,14.5
84,2025-08-01,1,1,7.3
84,2025-09-01,1,0,2.2
84,2025-10-01,1,4,2.9
84,2025-11-01,1,1,0.0
84,2025-12-01,0,0,4.8
85,2025-01-01,0,0,19.4
86,2025-04-01,1,1,21.5
86,2025-05-01,1,0,24.3
86,2025-06-01,1,0,15.7
86,2025-07-01,1,0,10.8
86,2025-08-01,1,1,12.5
86,2025-09-01,1,0,10.4
86,2025-10-01,0,1,5.4
87,2025-02-01,1,1,23.7
87,2025-03-01,1,0,23.7
87,2025-04-01,1,0,24.9
87,2025-05-01,1,0,24.0
87,2025-06-01,1,2,23.1
87,2025-07-01,0,0,23.1
88,2025-06-01,1,1,29.3
88,2025-07-01,1,0,29.0
88,2025-08-01,1,0,26.5
88,2025-09-01,1,0,30.9
88,2025-10-01,1,0,24.9
88,2025-11-01,1,1,30.8
88,2025-12-01,1,0,24.0
89,2025-06-01,1,1,17.0
89,2025-07-01,1,0,18.1
89,2025-08-01,1,1,15.5
89,2025-09-01,0,0,19.6
90,2025-01-01,1,1,19.3
90,2025-02-01,1,0,12.1
90,2025-03-01,1,0,16.5
90,2025-04-01,1,0,19.1
90,2025-05-01,1,0,15.2
90,2025-06-01,1,1,8.7
90,2025-07-01,1,0,17.1
90,2025-08-01,1,0,19.6
90,2025-09-01,0,0,18.7
91,2025-02-01,1,0,22.0
91,2025-03-01,1,0,17.4
91,2025-04-01,1,1,18.6
91,2025-05-01,1,0,20.9
91,2025-06-01,0,1,11.2
92,2025-03-01,1,0,6.0
92,2025-04-01,1,1,13.0
92,2025-05-01,1,0,11.8
92,2025-06-01,1,1,12.9
92,2025-07-01,1,0,6.4
92,2025-08-01,1,0,13.7
92,2025-09-01,1,0,4.1
92,2025-10-01,1,0,14.7
92,2025-11-01,1,1,10.5
92,2025-12-01,1,0,11.3
93,2024-12-01,0,0,8.9
94,2024-11-01,1,0,30.4
94,2024-12-01,0,2,33.8
95,2024-10-01,1,1,20.8
95,2024-11-01,0,0,17.4
96,2024-09-01,1,0,19.8
96,2024-10-01,1,0,20.4
96,2024-11-01,1,0,19.4
96,2024-12-01,1,1,16.5
96,2025-01-01,0,2,7.8
97,2025-07-01,1,0,14.7
97,2025-08-01,1,1,16.3
97,2025-09-01,1,0,16.4
97,2025-10-01,1,0,15.1
97,2025-11-01,1,0,17.0
97,2025-12-01,0,1,16.2
98,2025-01-01,1,1,9.2
98,2025-02-01,1,3,5.5
98,2025-03-01,1,1,4.6
98,2025-04-01,0,0,6.6
99,2025-06-01,1,0,9.8
99,2025-07-01,1,0,8.8
99,2025-08-01,1,0,11.0
99,2025-09-01,1,1,17.5
99,2025-10-01,1,0,18.3
99,2025-11-01,1,0,10.9
99,2025-12-01,1,0,14.5
100,2024-09-01,1,0,20.1
100,2024-10-01,1,0,21.1
100,2024-11-01,1,0,15.5
100,2024-12-01,1,0,17.6
100,2025-01-01,1,0,17.8
100,2025-02-01,1,0,16.6
100,2025-03-01,1,1,16.1
100,2025-04-01,1,0,14.0
100,2025-05-01,1,0,13.4
100,2025-06-01,1,0,11.8
100,2025-07-01,1,0,11.5
100,2025-08-01,1,0,16.4
100,2025-09-01,1,0,17.0
100,2025-10-01,1,0,18.0
100,2025-11-01,1,0,16.5
100,2025-12-01,1,0,17.3
101,2025-06-01,1,0,33.7
101,2025-07-01,1,1,28.8
101,2025-08-01,1,0,19.3
101,2025-09-01,1,2,21.2
101,2025-10-01,1,0,11.0
101,2025-11-01,1,0,11.4
101,2025-12-01,1,1,9.2
102,2025-08-01,1,0,16.0
102,2025-09-01,1,1,15.2
102,2025-10-01,0,1,11.3
103,2025-05-01,1,1,10.7
103,2025-06-01,1,1,4.9
103,2025-07-01,1,0,7.1
103,2025-08-01,1,0,12.3
103,2025-09-01,1,0,9.9
103,2025-10-01,1,0,2.9
103,2025-11-01,1,2,3.9
103,2025-12-01,1,0,0.0
104,2025-04-01,1,0,17.6
104,2025-05-01,1,0,11.6
104,2025-06-01,0,2,13.7
105,2024-09-01,1,1,23.1
105,2024-10-01,0,0,17.9
106,2024-10-01,1,1,14.7
106,2024-11-01,1,0,11.4
106,2024-12-01,1,1,17.4
106,2025-01-01,0,0,15.8
107,2024-10-01,1,0,32.1
107,2024-11-01,1,0,26.6
107,2024-12-01,0,0,31.2
108,2025-04-01,1,0,17.8
108,2025-05-01,0,0,22.1
109,2025-05-01,1,0,12.4
109,2025-06-01,1,0,20.6
109,2025-07-01,1,1,18.2
109,2025-08-01,0,0,14.4
110,2025-05-01,1,2,26.1
110,2025-06-01,1,0,18.4
110,2025-07-01,1,0,15.6
110,2025-08-01,1,0,12.3
110,2025-09-01,0,0,6.3
111,2025-10-01,1,0,23.7
111,2025-11-01,1,2,23.9
111,2025-12-01,1,2,22.5
112,2025-07-01,0,1,4.2
113,2025-01-01,0,3,2.3
114,2024-10-01,1,0,21.5
114,2024-11-01,1,0,22.9
114,2024-12-01,1,0,15.7
114,2025-01-01,1,0,18.1
114,2025-02-01,1,0,13.2
114,2025-03-01,1,0,15.1
114,2025-04-01,1,0,6.1
114,2025-05-01,1,0,5.2
114,2025-06-01,1,1,4.0
114,2025-07-01,1,0,0.0
114,2025-08-01,0,0,0.0
115,2024-12-01,1,0,13.8
115,2025-01-01,0,0,14.8
116,2024-11-01,1,0,21.7
116,2024-12-01,1,0,26.1
116,2025-01-01,1,0,30.3
116,2025-02-01,1,0,29.7
116,2025-03-01,1,0,31.5
116,2025-04-01,1,0,26.0
116,2025-05-01,1,0,29.5
116,2025-06-01,1,0,25.7
116,2025-07-01,1,1,30.7
116,2025-08-01,1,0,20.7
116,2025-09-01,1,1,29.5
116,2025-10-01,1,0,36.6
116,2025-11-01,1,0,25.4
116,2025-12-01,1,1,29.6
117,2025-05-01,1,0,31.9
117,2025-06-01,1,1,35.7
117,2025-07-01,1,1,33.1
117,2025-08-01,1,0,31.2
117,2025-09-01,1,1,35.8
117,2025-10-01,1,0,30.7
117,2025-11-01,0,0,31.2
118,2025-12-01,1,0,23.7
119,2024-09-01,1,1,18.8
119,2024-10-01,1,0,23.7
119,2024-11-01,1,0,17.8
119,2024-12-01,1,0,16.1
119,2025-01-01,1,1,17.9
119,2025-02-01,0,1,13.1
120,2024-11-01,1,0,19.8
120,2024-12-01,1,0,21.2
120,2025-01-01,1,1,22.2
120,2025-02-01,1,1,17.0
120,2025-03-01,1,0,14.4
120,2025-04-01,0,1,12.5
121,2024-10-01,1,1,30.7
121,2024-11-01,1,1,29.9
121,2024-12-01,0,0,32.6
122,2024-12-01,1,0,17.4
122,2025-01-01,1,1,19.2
122,2025-02-01,1,0,13.7
122,2025-03-01,1,0,10.1
122,2025-04-01,1,0,13.2
122,2025-05-01,1,0,7.7
122,2025-06-01,1,0,6.4
122,2025-07-01,0,2,1.8
123,2024-12-01,1,0,22.1
123,2025-01-01,1,0,25.9
123,2025-02-01,1,0,27.1
123,2025-03-01,1,0,27.2
123,2025-04-01,1,0,22.6
123,2025-05-01,1,1,28.0
123,2025-06-01,1,1,21.7
123,2025-07-01,1,0,26.2
123,2025-08-01,1,0,23.8
123,2025-09-01,1,0,26.5
123,2025-10-01,1,0,20.7
123,2025-11-01,1,1,27.5
123,2025-12-01,0,3,24.5
124,2024-09-01,1,0,17.1
124,2024-10-01,1,1,25.2
124,2024-11-01,0,1,19.3
125,2025-01-01,1,0,15.7
125,2025-02-01,1,1,17.1
125,2025-03-01,0,0,16.8
126,2025-04-01,1,0,10.5
126,2025-05-01,1,1,10.3
126,2025-06-01,1,1,12.4
126,2025-07-01,1,1,14.4
126,2025-08-01,1,0,11.5
126,2025-09-01,0,0,13.7
127,2025-08-01,1,2,15.6
127,2025-09-01,0,0,9.9
128,2024-09-01,1,0,25.7
128,2024-10-01,1,0,22.8
128,2024-11-01,1,0,21.0
128,2024-12-01,1,0,24.7
128,2025-01-01,1,0,22.5
128,2025-02-01,1,0,26.3
128,2025-03-01,1,0,26.2
128,2025-04-01,1,0,24.2
128,2025-05-01,1,0,19.9
128,2025-06-01,1,0,21.8
128,2025-07-01,1,1,28.5
128,2025-08-01,1,1,27.7
128,2025-09-01,1,1,25.6
128,2025-10-01,1,0,15.4
128,2025-11-01,0,0,22.1
129,2025-09-01,1,0,20.5
129,2025-10-01,0,0,15.9
130,2025-12-01,1,0,26.7
131,2024-12-01,1,1,17.2
131,2025-01-01,1,0,13.4
131,2025-02-01,1,0,12.8
131,2025-03-01,1,2,6.8
131,2025-04-01,1,1,8.2
131,2025-05-01,1,1,8.2
131,2025-06-01,0,4,2.5
132,2025-04-01,1,0,14.4
132,2025-05-01,1,0,13.9
132,2025-06-01,1,0,7.3
132,2025-07-01,1,0,9.8
132,2025-08-01,1,1,3.4
132,2025-09-01,1,0,5.2
132,2025-10-01,1,0,3.1
132,2025-11-01,0,0,1.6
133,2025-11-01,1,0,14.9
133,2025-12-01,1,0,13.2
134,2025-10-01,1,0,20.6
134,2025-11-01,1,0,18.1
134,2025-12-01,1,0,19.6
135,2024-08-01,1,0,16.9
135,2024-09-01,0,0,18.0
136,2024-09-01,1,0,11.2
136,2024-10-01,1,0,14.0
136,2024-11-01,1,0,9.6
136,2024-12-01,1,0,16.4
136,2025-01-01,1,0,10.3
136,2025-02-01,1,0,12.7
136,2025-03-01,1,0,12.3
136,2025-04-01,1,0,10.4
136,2025-05-01,1,0,13.8
136,2025-06-01,1,0,11.1
136,2025-07-01,1,1,16.3
136,2025-08-01,1,0,10.4
136,2025-09-01,0,0,14.4
137,2024-07-01,1,0,15.1
137,2024-08-01,1,0,19.8
137,2024-09-01,1,0,18.9
137,2024-10-01,1,0,15.0
137,2024-11-01,1,0,9.5
137,2024-12-01,1,0,14.7
137,2025-01-01,1,0,10.8
137,2025-02-01,1,1,12.2
137,2025-03-01,0,2,12.5
138,2024-08-01,1,1,12.2
138,2024-09-01,1,1,15.5
138,2024-10-01,1,0,12.7
138,2024-11-01,1,0,11.9
138,2024-12-01,1,1,17.2
138,2025-01-01,1,0,16.1
138,2025-02-01,0,1,16.3
139,2025-04-01,1,0,0.0
139,2025-05-01,0,0,3.8
140,2025-04-01,1,0,15.0
140,2025-05-01,1,1,15.8
140,2025-06-01,1,0,22.6
140,2025-07-01,1,0,17.2
140,2025-08-01,0,2,23.6
141,2024-12-01,1,0,5.6
141,2025-01-01,1,0,7.1
141,2025-02-01,1,2,5.6
141,2025-03-01,1,1,0.0
141,2025-04-01,1,1,3.7
141,2025-05-01,1,0,1.2
141,2025-06-01,1,0,1.8
141,2025-07-01,1,0,0.0
141,2025-08-01,0,1,0.0
142,2025-06-01,1,1,19.4
142,2025-07-01,1,1,17.2
142,2025-08-01,0,0,18.4
143,2025-01-01,1,0,26.3
143,2025-02-01,1,0,24.4
143,2025-03-01,1,0,28.7
143,2025-04-01,1,0,24.5
143,2025-05-01,1,0,25.6
143,2025-06-01,1,0,24.7
143,2025-07-01,1,3,20.5
143,2025-08-01,1,0,27.5
143,2025-09-01,1,1,26.7
143,2025-10-01,1,0,28.5
143,2025-11-01,1,0,23.7
143,2025-12-01,1,0,21.7
144,2024-07-01,1,1,10.8
144,2024-08-01,1,1,11.0
144,2024-09-01,0,0,15.1
145,2024-08-01,1,0,11.6
145,2024-09-01,1,0,19.0
145,2024-10-01,0,2,19.0
146,2024-08-01,1,0,19.7
146,2024-09-01,0,2,23.1
147,2024-11-01,1,0,12.8
147,2024-12-01,1,0,16.9
147,2025-01-01,0,1,9.7
148,2024-12-01,1,0,3.6
148,2025-01-01,1,0,8.1
148,2025-02-01,1,1,5.3
148,2025-03-01,1,0,0.0
148,2025-04-01,1,0,5.7
148,2025-05-01,0,3,3.2
149,2025-01-01,1,1,35.7
149,2025-02-01,1,0,30.7
149,2025-03-01,1,0,26.8
149,2025-04-01,1,1,18.2
149,2025-05-01,1,0,17.0
149,2025-06-01,1,0,17.9
149,2025-07-01,1,0,11.1
149,2025-08-01,1,0,2.5
149,2025-09-01,1,1,5.2
149,2025-10-01,1,0,4.8
149,2025-11-01,1,0,6.3
149,2025-12-01,1,1,5.4
150,2025-05-01,1,0,11.3
150,2025-06-01,1,0,17.5
150,2025-07-01,1,0,16.9
150,2025-08-01,1,0,16.9
150,2025-09-01,1,0,19.0
150,2025-10-01,1,0,14.0
150,2025-11-01,1,0,15.4
150,2025-12-01,1,1,13.0
151,2025-06-01,1,1,26.2
151,2025-07-01,1,1,18.7
151,2025-08-01,1,1,19.8
151,2025-09-01,0,0,16.1
152,2024-07-01,1,0,14.8
152,2024-08-01,1,1,17.3
152,2024-09-01,1,0,17.2
152,2024-10-01,1,0,18.8
152,2024-11-01,1,0,20.1
152,2024-12-01,1,0,18.7
152,2025-01-01,1,0,20.4
152,2025-02-01,1,1,12.1
152,2025-03-01,1,0,13.6
152,2025-04-01,1,0,22.4
152,2025-05-01,1,0,15.1
152,2025-06-01,1,0,12.9
152,2025-07-01,1,0,17.8
152,2025-08-01,1,0,16.2
152,2025-09-01,1,1,14.7
152,2025-10-01,0,0,17.4
153,2025-03-01,1,1,32.1
153,2025-04-01,1,0,32.7
153,2025-05-01,0,0,34.1
154,2025-08-01,1,0,24.5
154,2025-09-01,1,1,22.1
154,2025-10-01,1,1,13.4
154,2025-11-01,1,0,11.9
